******************** DIAGRAMAS DE ESFORCOS RESISTENTES ********************
PONTOS DO DIAGRAMA Nr Mrx

   PONTO          Nr               Mrx
  524      1.561077E+03     -8.854333E+03
  525      1.567851E+03     -8.718801E+03
  526      1.574583E+03     -8.584041E+03
  527      1.581271E+03     -8.450052E+03
  528      1.587915E+03     -8.316834E+03
  529      1.594517E+03     -8.184387E+03
  530      1.601075E+03     -8.052711E+03
  531      1.607591E+03     -7.921806E+03
  532      1.614063E+03     -7.791671E+03
  533      1.620492E+03     -7.662308E+03
  534      1.626878E+03     -7.533716E+03
  535      1.633220E+03     -7.405894E+03
  536      1.639520E+03     -7.278844E+03
  537      1.645776E+03     -7.152565E+03
  538      1.651989E+03     -7.027056E+03
  539      1.658159E+03     -6.902319E+03
  540      1.664286E+03     -6.778352E+03
  541      1.670369E+03     -6.655157E+03
  542      1.676409E+03     -6.532733E+03
  543      1.682407E+03     -6.411079E+03
  544      1.688361E+03     -6.290196E+03
  545      1.694272E+03     -6.170085E+03
  546      1.700139E+03     -6.050744E+03
  547      1.705964E+03     -5.932175E+03
  548      1.711745E+03     -5.814376E+03
  549      1.717483E+03     -5.697348E+03
  550      1.723178E+03     -5.581092E+03
  551      1.728830E+03     -5.465606E+03
  552      1.734439E+03     -5.350891E+03
  553      1.740004E+03     -5.236947E+03
  554      1.745526E+03     -5.123775E+03
  555      1.751005E+03     -5.011373E+03
  556      1.756441E+03     -4.899742E+03
  557      1.761834E+03     -4.788882E+03
  558      1.767184E+03     -4.678793E+03
  559      1.772490E+03     -4.569475E+03
  560      1.777753E+03     -4.460928E+03
  561      1.782973E+03     -4.353152E+03
  562      1.788150E+03     -4.246147E+03
  563      1.793284E+03     -4.139913E+03
  564      1.798374E+03     -4.034450E+03
  565      1.803422E+03     -3.929758E+03
  566      1.808426E+03     -3.825837E+03
  567      1.813387E+03     -3.722687E+03
  568      1.818305E+03     -3.620308E+03
  569      1.823179E+03     -3.518700E+03
  570      1.828011E+03     -3.417863E+03
  571      1.832799E+03     -3.317796E+03
  572      1.837544E+03     -3.218501E+03
  573      1.842246E+03     -3.119977E+03
  574      1.846905E+03     -3.022224E+03
  575      1.851521E+03     -2.925241E+03
  576      1.856093E+03     -2.829030E+03
  577      1.860622E+03     -2.733590E+03
  578      1.865109E+03     -2.638920E+03
  579      1.869551E+03     -2.545022E+03
  580      1.873951E+03     -2.451894E+03
  581      1.878308E+03     -2.359538E+03
  582      1.882621E+03     -2.267952E+03
  583      1.886891E+03     -2.177138E+03
  584      1.891118E+03     -2.087094E+03
  585      1.895302E+03     -1.997822E+03
  586      1.899443E+03     -1.909320E+03
  587      1.902321E+03     -1.794751E+03
  588      1.903842E+03     -1.652068E+03
  589      1.905320E+03     -1.510155E+03
  590      1.906755E+03     -1.369013E+03
  591      1.908147E+03     -1.228643E+03
  592      1.909496E+03     -1.089043E+03
  593      1.910801E+03     -9.502140E+02
  594      1.912064E+03     -8.121562E+02
  595      1.913283E+03     -6.748694E+02
  596      1.914459E+03     -5.383536E+02
  597      1.915592E+03     -4.026087E+02
  598      1.916682E+03     -2.676348E+02
  599      1.917728E+03     -1.334319E+02
  600      1.918731E+03      2.833333E+04
